Date;Territoire;Sujet;Thème;Qualité du retour;Média;Articles
06/01/2023;Pas-de-calais;Bruay-Divion: où en est le chantier de démolition;Réseau;Factuel;La voix du Nord;Des engins de démolition ont fait leur apparition sur place le mois dernier. Et une partie des habitations a déjà été rasée. suite...
06/01/2023;Pas-de-calais;Circulation limitée;Réseau;Factuel;La sambre la frontière;Delattre, et J. Dequenne, ainsi que sur la route départe-mentale. Le chantier a com- suite...
06/01/2023;Pas-de-calais;Feu de cuisine à Hein-Beaumont, une jeune femme;Divers;Factuel;La voix du Nord;Un incendie s'est produit dans une habitation de la rue Robert-Aylé, ce vendredi matin. Un important déploiement de suite...
06/01/2023;Nord;Odomez: le conducteur d'un camion décède;divers;Factuel;La voix du Nord;Le conducteur d'un camion décède au volant. suite...
07/01/2023;Pas-de-Calais;Où en est le chantier de démolition à la cité;réseau;Factuel;La voix du Nord;par Julien Delfort bet-thune@lavoixdunord.fr Bruay-La-Buissière - Divion. C'est un couple de riverains qui nous renseigne suite...
07/01/2023;Pas-de-Calais;Des panneaux photovoltaïques sur le parking;Transition écologique;Factuel;La voix du Nord;Par Isabelle Hoday ca-lais@lavoixdunord.fr Fré-thun. 1Le contexte le 31oc-tobre dernier, les sociétés SNCF Gares & suite...
07/01/2023;Pas-de-Calais;A Capelle-lès-Hesdin, les coupures électriques;Réseau;Négatif;La voix du Nord;Lors de la présentation de ses voeux à la population ce dimanche, le maire, Francis Capron, est revenu sur un sujet qui fait suite...
10/01/2023;Nord;Le feu se déclare dans un magasin de prêt-à-porter;Divers;Factuel;La voix du Nord;A la suite d'un départ de feu à priori causé par une surchauffe élec-trique, les pompiers de Cambrai sont intervenus dans suite...
10/01/2023;Nord;Mérignies: les voeux, une première pour Paul;Réseau;Négatif;La voix du Nord;Dimanche, Paul Dhallewyn accueillait ses administrés pour la céré-monie des voeux. Il a présenté les projets, annoncé suite...
10/01/2023;Nord;Une panne d'électricité touche plusieurs communes;Réseau;Factuel négatif;La voix du Nord;Ce mardi en début d'après-midi, plus de 1300 foyers du Quercitain ont été privés d'électricité suite à une panne. suite...
